DC,X,dis
2.02775788491297e-15,0.030781247869791657,126.01373486405325
2.0268264671843043e-15,0.031453275776910844,127.39318073517846
2.0258793040693416e-15,0.03213698092608786,128.77244098482566
2.0249162698079617e-15,0.03283247039773541,130.15150985249912
2.0239372394002405e-15,0.033539851194444144,131.53038282797976
2.0229420862087397e-15,0.03425923198227253,132.90905996691336
2.0219306900268055e-15,0.034990717265769904,134.2875347330437
2.0209029302055973e-15,0.035734412360204706,135.66580378144678
2.01985868553285e-15,0.03649042348897096,137.0438669821008
2.0187978421277002e-15,0.03725885207364315,138.42171710629992
2.017720284702453e-15,0.038039801063726036,139.79935157286468
2.0166258984400514e-15,0.03883337358660445,141.17676985785704
2.0155145762735436e-15,0.039639667672792644,142.55396449183706
2.014386209160291e-15,0.040458783311659904,143.93093346995576
2.013240688666448e-15,0.04129082058667714,145.30767686615226
2.0120779173263324e-15,0.04213587215227849,146.68418460715654
2.0108977923019316e-15,0.0429940351056785,148.0604562378821
2.0097002149099825e-15,0.04386540407300292,149.4364894542719
2.008485100131088e-15,0.04475006428404766,150.81226964483866
2.0072523545260496e-15,0.04564810764333959,152.18779533770712
2.0060018860691427e-15,0.046559625587145013,153.5630666270203
2.004733605584527e-15,0.04748470804101148,154.93808360686913
2.0034474268293695e-15,0.0484234433611759,156.3128463712922
2.002143270605476e-15,0.04937591533246342,157.68735079761603
2.0008210708109248e-15,0.05034219873578791,159.0615826754875
1.999480751229203e-15,0.05132237630415501,160.435542112977
1.9981222427138217e-15,0.0523165261752807,161.8092253990072
1.9967454841165385e-15,0.05332472120202498,163.18262441932944
1.9953504097455477e-15,0.05434703813364217,164.55573929157558
1.9939369620289885e-15,0.0553835483451793,165.92856568582906
1.9925050893311523e-15,0.0564343194269846,167.30109726854806
1.9910547371918597e-15,0.05749942161207434,168.6733341421975
1.9895858603065813e-15,0.058578918983036916,170.04527139007217
1.9880984176728438e-15,0.05967287302504424,171.41690391054945
1.986592366687964e-15,0.0607813469662933,172.78823183897566
